Singer with the compilation "A Box of Dreams"	4	ENYA
Well-running group?: Abbr.	4	OPEC
Boom box setting	4	BASS
Charmer's subject?	5	COBRA
Drop anchor	4	MOOR
Block in Washington	4	VETO
Run in "The Alphabet Song"	5	LMNOP
"Power corrupts," e.g.	5	AXIOM
Wins a bridge hand?	15	TRUMPETHPLAYERS
iPod sound?	5	LONGI
Salon appliance	5	DRYER
Fertility goddess	4	ISIS
Object of many 1950s jokes	5	EDSEL
Whirlpool alternatives	3	GES
Car with "three deuces and a four-speed," in a 1964 song	3	GTO
Fame fades?	14	CELEBRITYDIETH
Like cases on "The X-Files"	7	STRANGE
Western capital: Abbr.	3	USD
A in German class	3	EIN
Modern home of ancient Persepolis	4	IRAN
It ends in septembre	3	ETE
___ of Attalos (Greek museum site)	4	STOA
Exquisite curio	5	BIJOU
Stuns experts after new findings?	17	ROCKETHSCIENTISTS
Let go	3	CUT
Inventor of alternating current	5	TESLA
Resistance units	4	OHMS
Cry on game day	3	RAH
Mex. title	4	SRTA
"S.N.L." veteran Gasteyer	3	ANA
Newborn puppies enjoy the sun?	13	LITTERBASKETH
Not moving smoothly	7	SPASTIC
Rejuvenation site	5	OASIS
Local fan of the N.H.L.'s Senators	7	OTTAWAN
Recruits people to sell stolen goods?	13	PICKETHFENCES
General on Chinese menus	3	TSO
H. G. Wells people	4	ELOI
Talk as lovers do	3	COO
They're dedicated	4	ODES
Winter coats?	5	HOARS
Setting in the film "Tropic Thunder"	3	NAM
A lace starts to come undone?	17	SHOESTRINGBUDGETH
Real downer, for short?	5	TRANQ
"All righty ___!"	4	THEN
Spray-can art	3	TAG
Airborne irritant	4	GNAT
Ship-to-shore aid	3	TUG
Agent Gold of "Entourage"	3	ARI
Exchange of spies, maybe	7	SECRETS
Words escape President Karzai?	14	AFGHANBLANKETH
Slip behind	3	LAG
Not, to Scots	3	NAE
Words before a deadline	5	DUEBY
His twin duped him	4	ESAU
Never-before-seen	5	NOVEL
Viking garment	5	TUNIC
Rebels against military forces?	15	BUCKETHBRIGADES
Fictional Doolittle	5	ELIZA
Questionnaire line	5	EMAIL
It has an expiration date	4	OBIT
Shot, as a photo	4	TOOK
Turn left or right, say	5	STEER
Govt. bodies may issue them	4	STDS
Place where leaves are collected	4	EAVE
"As rust corrupts iron, so ___ corrupts man": Antisthenes	4	ENVY
Mouth-to-mouth pro, briefly	3	EMT
N, on a French map	4	NORD
What to call an archbishop	9	YOURGRACE
Periscope users	9	ARMYTANKS
Just a memory now	4	OVER
Prized	3	PET
Set of morals	5	ETHIC
Thicket of trees	5	COPSE
Been-there-done-that	5	BLASE
Grant with Grammys	3	AMY
Pooh-poohs	8	SNEERSAT
Seamy	6	SORDID
Stake a claim	8	CALLDIBS
Tic-tac-toe line	3	OXO
Opposite of fast	5	BINGE
Reference volume, informally	5	ROGET
People without power, often	5	AMISH
[Nudge]	4	PSST
Lowly sort	4	PEON
Short, for short	3	LIL
Size up	3	EYE
"___ appetito!"	4	BUON
Pasta suffix	3	INI
U2's Bono, since 2007	3	SIR
Bring (out)	4	TROT
Start hankering	9	GETANITCH
Neighbor of Sudan: Abbr.	3	ETH
Anka's "___ Beso"	3	ESO
Like chimpanzees	6	SIMIAN
Datum in a college application	9	TESTSCORE
National clothing chain based in New York's Greenwich Village	5	JCREW
"Get ___ here!"	5	OUTTA
Many a Mormon	5	UTAHN
Tickle to pieces	5	ELATE
Actress Webb or Sevigny	5	CHLOE
Half-price bin abbr.	3	IRR
Footwear that's hard to run in	5	SABOT
"Wow, congrats!"	9	THATSHUGE
Reggae relative	3	SKA
Allergic response	5	ACHOO
Linked	6	TIEDIN
City SSW of Münster	5	ESSEN
Endured	5	STOOD
Wiped out	5	SPENT
Pertaining to hair	5	PILAR
In ___ (unconscious)	5	ACOMA
Sea's partner, commercially	3	SKI
Bizarro, to Superman	3	FOE
"Ten-hut!" yeller: Abbr.	3	SGT
Worsen	9	AGGRAVATE
Broke, as a promise	9	RENEGEDON
"Like, now!"	4	STAT
Black-and-white	8	SQUADCAR
Pound escapee, maybe	8	STRAYCAT
Weak, as a plot	4	THIN
Degrees in hist. or social sci.	3	BAS
Brooklyn ___, N.Y.	3	HTS
Ridiculous degree	3	NTH
White-bearded Kenyan	3	GNU
Photo groups on Facebook	6	ALBUMS
Cousin of a 55-Down	4	CLOG
Gets in the game	5	ANTES
Wimbledon no-no	5	FAULT
Coming-out party?	5	GENIE
Tiny addition to la familia	4	BEBE
Topples	5	KEELS
E, on a French map	3	EST
Chevy S.U.V.	5	TAHOE
When repeated, a luster's cry	5	HUBBA
When the stars come out, in ads	4	NITE
Benedict IV's successor	4	LEOV
Suffix with capital	3	IZE
A little butter?	3	KID
Colorado or Delaware, e.g.: Abbr.	3	RIV
Where to aim a telescope	3	SKY
Singer with the compilation "A Box of Dreams"	4	ENYA
Well-running group?: Abbr.	4	OPEC
Boom box setting	4	BASS
Charmer's subject?	5	COBRA
Drop anchor	4	MOOR
Block in Washington	4	VETO
Run in "The Alphabet Song"	5	LMNOP
"Power corrupts," e.g.	5	AXIOM
Wins a bridge hand?	15	TRUMPETHPLAYERS
iPod sound?	5	LONGI
Salon appliance	5	DRYER
Fertility goddess	4	ISIS
Object of many 1950s jokes	5	EDSEL
Whirlpool alternatives	3	GES
Car with "three deuces and a four-speed," in a 1964 song	3	GTO
Fame fades?	14	CELEBRITYDIETH
Like cases on "The X-Files"	7	STRANGE
Western capital: Abbr.	3	USD
A in German class	3	EIN
Modern home of ancient Persepolis	4	IRAN
It ends in septembre	3	ETE
___ of Attalos (Greek museum site)	4	STOA
Exquisite curio	5	BIJOU
Stuns experts after new findings?	17	ROCKETHSCIENTISTS
Let go	3	CUT
Inventor of alternating current	5	TESLA
Resistance units	4	OHMS
Cry on game day	3	RAH
Mex. title	4	SRTA
"S.N.L." veteran Gasteyer	3	ANA
Newborn puppies enjoy the sun?	13	LITTERBASKETH
Not moving smoothly	7	SPASTIC
Rejuvenation site	5	OASIS
Local fan of the N.H.L.'s Senators	7	OTTAWAN
Recruits people to sell stolen goods?	13	PICKETHFENCES
General on Chinese menus	3	TSO
H. G. Wells people	4	ELOI
Talk as lovers do	3	COO
They're dedicated	4	ODES
Winter coats?	5	HOARS
Setting in the film "Tropic Thunder"	3	NAM
A lace starts to come undone?	17	SHOESTRINGBUDGETH
Real downer, for short?	5	TRANQ
"All righty ___!"	4	THEN
Spray-can art	3	TAG
Airborne irritant	4	GNAT
Ship-to-shore aid	3	TUG
Agent Gold of "Entourage"	3	ARI
